index,Final,max_rate,margadj,labmdacons,avg_borr_rate,avg_stock_ret
80%,3968104.3913727226,1.08,0.02,1.0,0.003779554168356523,0.0060705028991153796
90%,5898939.114958839,1.08,0.02,1.0,0.003779554168356523,0.0060705028991153796
max,9737550.736632558,1.08,0.02,1.0,0.003779554168356523,0.0060705028991153796
count,96.0,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
mean,3251626.603896757,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
std,1887121.804957445,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
min,1220816.6852823817,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
0%,1220816.6852823817,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
10%,1485147.3837102358,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
20%,1876508.0778521292,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
30%,2152594.855667307,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
40%,2368420.3755010464,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
50%,2775178.7542322436,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
60%,3056246.9839653918,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
70%,3389100.3369450355,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
80%,3968104.3913727226,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
90%,5898939.114958839,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
max,9737550.736632558,1.08,0.04,1.0,0.0053355740669362795,0.0060705028991153796
count,96.0,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
mean,3251626.603896757,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
std,1887121.804957445,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
min,1220816.6852823817,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
0%,1220816.6852823817,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
10%,1485147.3837102358,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
20%,1876508.0778521292,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
30%,2152594.855667307,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
40%,2368420.3755010464,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
50%,2775178.7542322436,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
60%,3056246.9839653918,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
70%,3389100.3369450355,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
80%,3968104.3913727226,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
90%,5898939.114958839,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
max,9737550.736632558,1.08,0.06,1.0,0.006865500786407977,0.0060705028991153796
count,96.0,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
mean,3251626.603896757,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
std,1887121.804957445,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
min,1220816.6852823817,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
0%,1220816.6852823817,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
10%,1485147.3837102358,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
20%,1876508.0778521292,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
30%,2152594.855667307,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
40%,2368420.3755010464,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
50%,2775178.7542322436,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
60%,3056246.9839653918,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
70%,3389100.3369450355,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
80%,3968104.3913727226,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
90%,5898939.114958839,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
max,9737550.736632558,1.08,0.08,1.0,0.008370233846036468,0.0060705028991153796
count,96.0,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
mean,3251626.603896757,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
std,1887121.804957445,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
min,1220816.6852823817,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
0%,1220816.6852823817,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
10%,1485147.3837102358,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
20%,1876508.0778521292,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
30%,2152594.855667307,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
40%,2368420.3755010464,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
50%,2775178.7542322436,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
60%,3056246.9839653918,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
70%,3389100.3369450355,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
80%,3968104.3913727226,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
90%,5898939.114958839,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
max,9737550.736632558,1.09,0.0,1.0,0.0021964917172257806,0.0060705028991153796
count,96.0,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
mean,3251626.603896757,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
std,1887121.804957445,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
min,1220816.6852823817,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
0%,1220816.6852823817,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
10%,1485147.3837102358,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
20%,1876508.0778521292,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
30%,2152594.855667307,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
40%,2368420.3755010464,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
50%,2775178.7542322436,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
60%,3056246.9839653918,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
70%,3389100.3369450355,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
80%,3968104.3913727226,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
90%,5898939.114958839,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
max,9737550.736632558,1.09,0.02,1.0,0.003779554168356523,0.0060705028991153796
count,96.0,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
mean,3251626.603896757,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
std,1887121.804957445,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
min,1220816.6852823817,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
0%,1220816.6852823817,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
10%,1485147.3837102358,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
20%,1876508.0778521292,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
30%,2152594.855667307,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
40%,2368420.3755010464,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
50%,2775178.7542322436,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
60%,3056246.9839653918,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
70%,3389100.3369450355,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
80%,3968104.3913727226,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
90%,5898939.114958839,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
max,9737550.736632558,1.09,0.04,1.0,0.0053355740669362795,0.0060705028991153796
count,96.0,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
mean,3251626.603896757,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
std,1887121.804957445,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
min,1220816.6852823817,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
0%,1220816.6852823817,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
10%,1485147.3837102358,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
20%,1876508.0778521292,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
30%,2152594.855667307,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
40%,2368420.3755010464,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
50%,2775178.7542322436,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
60%,3056246.9839653918,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
70%,3389100.3369450355,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
80%,3968104.3913727226,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
90%,5898939.114958839,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
max,9737550.736632558,1.09,0.06,1.0,0.006865500786407977,0.0060705028991153796
count,96.0,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
mean,3251626.603896757,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
std,1887121.804957445,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
min,1220816.6852823817,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
0%,1220816.6852823817,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
10%,1485147.3837102358,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
20%,1876508.0778521292,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
30%,2152594.855667307,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
40%,2368420.3755010464,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
50%,2775178.7542322436,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
60%,3056246.9839653918,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
70%,3389100.3369450355,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
80%,3968104.3913727226,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
90%,5898939.114958839,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
max,9737550.736632558,1.09,0.08,1.0,0.008370233846036468,0.0060705028991153796
count,96.0,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
mean,3251626.603896757,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
std,1887121.804957445,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
min,1220816.6852823817,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
0%,1220816.6852823817,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
10%,1485147.3837102358,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
20%,1876508.0778521292,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
30%,2152594.855667307,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
40%,2368420.3755010464,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
50%,2775178.7542322436,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
60%,3056246.9839653918,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
70%,3389100.3369450355,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
80%,3968104.3913727226,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
90%,5898939.114958839,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
max,9737550.736632558,1.1,0.0,1.0,0.0021964917172257806,0.0060705028991153796
count,96.0,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
mean,3251626.603896757,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
std,1887121.804957445,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
min,1220816.6852823817,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
0%,1220816.6852823817,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
10%,1485147.3837102358,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
20%,1876508.0778521292,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
30%,2152594.855667307,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
40%,2368420.3755010464,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
50%,2775178.7542322436,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
60%,3056246.9839653918,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
70%,3389100.3369450355,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
80%,3968104.3913727226,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
90%,5898939.114958839,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
max,9737550.736632558,1.1,0.02,1.0,0.003779554168356523,0.0060705028991153796
count,96.0,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
mean,3251626.603896757,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
std,1887121.804957445,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
min,1220816.6852823817,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
0%,1220816.6852823817,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
10%,1485147.3837102358,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
20%,1876508.0778521292,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
30%,2152594.855667307,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
40%,2368420.3755010464,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
50%,2775178.7542322436,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
60%,3056246.9839653918,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
70%,3389100.3369450355,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
80%,3968104.3913727226,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
90%,5898939.114958839,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
max,9737550.736632558,1.1,0.04,1.0,0.0053355740669362795,0.0060705028991153796
count,96.0,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
mean,3251626.603896757,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
std,1887121.804957445,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
min,1220816.6852823817,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
0%,1220816.6852823817,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
10%,1485147.3837102358,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
20%,1876508.0778521292,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
30%,2152594.855667307,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
40%,2368420.3755010464,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
50%,2775178.7542322436,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
60%,3056246.9839653918,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
70%,3389100.3369450355,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
80%,3968104.3913727226,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
90%,5898939.114958839,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
max,9737550.736632558,1.1,0.06,1.0,0.006865500786407977,0.0060705028991153796
count,96.0,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
mean,3251626.603896757,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
std,1887121.804957445,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
min,1220816.6852823817,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
0%,1220816.6852823817,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
10%,1485147.3837102358,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
20%,1876508.0778521292,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
30%,2152594.855667307,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
40%,2368420.3755010464,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
50%,2775178.7542322436,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
60%,3056246.9839653918,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
70%,3389100.3369450355,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
80%,3968104.3913727226,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
90%,5898939.114958839,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
max,9737550.736632558,1.1,0.08,1.0,0.008370233846036468,0.0060705028991153796
count,96.0,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
mean,3251626.603896757,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
std,1887121.804957445,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
min,1220816.6852823817,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
0%,1220816.6852823817,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
10%,1485147.3837102358,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
20%,1876508.0778521292,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
30%,2152594.855667307,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
40%,2368420.3755010464,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
50%,2775178.7542322436,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
60%,3056246.9839653918,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
70%,3389100.3369450355,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
80%,3968104.3913727226,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
90%,5898939.114958839,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
max,9737550.736632558,1.11,0.0,1.0,0.0021964917172257806,0.0060705028991153796
count,96.0,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
mean,3251626.603896757,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
std,1887121.804957445,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
min,1220816.6852823817,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
0%,1220816.6852823817,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
10%,1485147.3837102358,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
20%,1876508.0778521292,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
30%,2152594.855667307,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
40%,2368420.3755010464,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
50%,2775178.7542322436,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
60%,3056246.9839653918,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
70%,3389100.3369450355,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
80%,3968104.3913727226,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
90%,5898939.114958839,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
max,9737550.736632558,1.11,0.02,1.0,0.003779554168356523,0.0060705028991153796
count,96.0,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
mean,3251626.603896757,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
std,1887121.804957445,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
min,1220816.6852823817,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
0%,1220816.6852823817,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
10%,1485147.3837102358,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
20%,1876508.0778521292,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
30%,2152594.855667307,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
40%,2368420.3755010464,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
50%,2775178.7542322436,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
60%,3056246.9839653918,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
70%,3389100.3369450355,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
80%,3968104.3913727226,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
90%,5898939.114958839,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
max,9737550.736632558,1.11,0.04,1.0,0.0053355740669362795,0.0060705028991153796
count,96.0,1.11,0.06,1.0,0.006865500786407977,0.0060705028991153796
